week,home_team,home_score,vis,vis_score,home_win,winner,loser,home_yards,vis_yards,point_dif
7,NE,14,CHI,33,0,CHI,NE,260,390,19
8,TB,22,BAL,27,0,BAL,TB,349,453,5
8,JAC,17,DEN,21,0,DEN,JAC,305,331,4
8,DET,27,MIA,31,0,MIA,DET,393,476,4
8,PHI,35,PIT,13,1,PHI,PIT,401,302,22
8,ATL,37,CAR,34,1,ATL,CAR,406,478,3
8,DAL,49,CHI,29,1,DAL,CHI,442,371,20
8,MIN,34,ARI,26,1,MIN,ARI,381,375,8
8,NO,24,LVR,0,1,NO,LVR,367,183,24
8,NYJ,17,NE,22,0,NE,NYJ,387,288,5
8,HOU,10,TEN,17,0,TEN,HOU,161,354,7
8,LAR,14,SAN,31,0,SAN,LAR,223,368,17
8,IND,16,WAS,17,0,WAS,IND,324,362,1
8,SEA,27,NYG,13,1,SEA,NYG,277,225,14
8,BUF,27,GB,17,1,BUF,GB,369,398,10
8,CLE,32,CIN,13,1,CLE,CIN,440,229,19
9,HOU,17,PHI,29,0,PHI,HOU,303,360,12
9,NYJ,20,BUF,17,1,NYJ,BUF,310,317,3
9,DET,15,GB,9,1,DET,GB,254,389,6
9,WAS,17,MIN,20,0,MIN,WAS,263,301,3
9,ATL,17,LAC,20,0,LAC,ATL,315,336,3
9,CIN,42,CAR,21,1,CIN,CAR,464,228,21
9,CHI,32,MIA,35,0,MIA,CHI,368,379,3
9,NE,26,IND,3,1,NE,IND,203,121,23
9,JAC,27,LVR,20,1,JAC,LVR,403,321,7
9,ARI,21,SEA,31,0,SEA,ARI,262,421,10
9,TB,16,LAR,13,1,TB,LAR,323,206,3
9,KAN,20,TEN,17,1,KAN,TEN,499,229,3
9,NO,13,BAL,27,0,BAL,NO,243,319,14
10,CAR,25,ATL,15,1,CAR,ATL,333,291,10
10,TB,21,SEA,16,1,TB,SEA,419,283,5
10,BUF,30,MIN,33,0,MIN,BUF,486,481,3
10,MIA,39,CLE,17,1,MIA,CLE,491,297,22
10,TEN,17,DEN,10,1,TEN,DEN,307,313,7
